Component,Process,Subsystem,Summary,Link,Tags,AddedBy
Upright / Knuckle,5-axis CNC machining (billet aluminium),suspension,"Covers how FSAE teams machine a billet 7075 upright in one or two set-ups, including datum strategy and bearing-bore tolerancing. If you're making an upright, this shows you how to fixture it and which features to hold tight so the bearings and hardpoints end up where the geometry needs them.",https://www.fsae.com/forums/archive/index.php/t-7845.html,"knuckle, hub carrier, billet, 7075, bearing bore",seed
Upright / Knuckle,Topology optimisation for machined / cast parts,suspension,"Walks through topology-optimising an upright and turning the raw result into a shape a CNC can actually cut, rather than an un-machinable blob. Useful if you've been handed an optimised concept and need to make it light without it becoming impossible (or hugely expensive) to manufacture.",https://www.altair.com/resource/topology-optimization-for-additive-and-subtractive-manufacturing,"lightweighting, optiStruct, design for manufacture",seed
A-arm / Wishbone,"Steel tube mitre, jig & TIG welding",suspension,"Explains coping (fish-mouthing) 4130 tube, building a welding jig, and the weld sequence that controls distortion on a wishbone. Read this before you weld your first control arm so the finished length and angles match the CAD instead of pulling out of tolerance.",https://www.fsae.com/forums/archive/index.php/t-8060.html,"control arm, 4130, chromoly, fishmouth, tube notching, jig",seed
A-arm / Wishbone,Bonded carbon tube + aluminium insert,suspension,"Covers bonding CFRP suspension tubes into aluminium clevis inserts: adhesive choice, bond length, surface prep and pull-testing. Go here if your team is going composite on the arms and you need the bonded joint to actually hold the loads it sees on track.",https://www.compositesworld.com/articles/fabrication-methods,"carbon, adhesive bonding, insert, clevis, CFRP rod end",seed
Rod end / Spherical bearing,"Selection, press-fit & staking",suspension,"Explains how to size rod ends and spherical bearings for suspension links, including press-fit housings, staking, and avoiding pull-out. Use it when you're specifying or installing the joints at the ends of your links so they don't loosen or fail under load.",https://www.aurorabearing.com/technical-resources.html,"heim joint, monoball, spherical, misalignment, press fit",seed
Pushrod / Pullrod,Tube + threaded clevis machining,suspension,"Shows how to make a length-adjustable pushrod: turning the threaded ends, left/right thread for in-situ adjustment, and a buckling check on the tube. Relevant if you're fabricating the actuation rods and need them adjustable at the car without buckling under compression.",https://www.fsae.com/forums/archive/index.php/t-10618.html,"actuation, buckling, adjuster, turnbuckle",seed
Rocker / Bellcrank,"Waterjet + CNC, double-shear mounting",suspension,"Covers making a suspension rocker from plate — waterjet blank, CNC the bearing pockets, and a double-shear mount for stiffness. Helpful when you're manufacturing the bellcrank and want the bearings located accurately and the pivot stiff enough not to flex away your motion ratio.",https://www.fsae.com/forums/archive/index.php/t-7281.html,"bellcrank, motion ratio, double shear, bearing pocket",seed
Hub,"Turning, splines & wheel-stud press",suspension,"Explains hub manufacturing: turning the bearing journals, cutting drive splines, and pressing wheel studs with the right interference fit. Read it before you make a hub so the bearing fits, stud retention, and runout all come out right the first time.",https://www.fsae.com/forums/printthread.php?t=12169&pp=10,"wheel bearing, stud, spline, journal, interference",seed
Coilover / Damper mount,Sheet bracket forming & welding,suspension,"Covers folding sheet-metal damper mounts, weld prep, and gusseting to react the high shock loads into the chassis. Use it when you're fabricating the shock mounts so they don't crack or tear out where the damper feeds load into the frame.",https://www.fsae.com/forums/archive/index.php/t-11844.html,"shock mount, gusset, sheet metal, bracket",seed
Anti-roll bar,Blade ARB machining & heat treat,suspension,"Explains making an adjustable blade-type anti-roll bar: spring-steel selection, machining the blades, and heat-treating for fatigue life. Relevant if you're building the ARB and need the blades to survive repeated cycling without fatiguing or taking a set.",https://www.fsae.com/forums/archive/index.php/t-7552.html,"sway bar, roll stiffness, blade, spring steel, fatigue",seed
Wing element,Wet layup / prepreg CFRP over a plug,aero,"Takes you end-to-end on an aero element: CNC the foam plug, pull a mould, then wet-layup or prepreg the skins over a foam or honeycomb core. This is your roadmap if you've been assigned a wing element and have never taken a part from plug to finished skin before.",https://www.compositesworld.com/topics/composites-basics,"mould, tooling, prepreg, wet layup, foam core, skin",seed
Wing element,5-axis foam-core machining,aero,"Covers machining accurate aerofoil cores from high-density foam for direct skinning, with toolpath and surface-finish tips. Useful when you're cutting the core yourself and need the profile accurate and the surface clean enough to skin without chasing the shape afterwards.",https://www.compositesworld.com/topics/processes,"foam core, aerofoil, toolpath, surface finish",seed
Endplate / Mount,Carbon plate cutting & bonded brackets,aero,Explains cutting flat carbon endplates without delamination and bonding on aluminium brackets to feed wing loads into the nose or chassis. Go here when you're making endplates and mounts and want clean edges plus joints that won't peel under aero load.,https://www.compositesworld.com/topics/processes,"endplate, delamination, routing, bonded bracket",seed
Undertray / Diffuser,Large-panel composite layup,aero,"Covers laying up a one-piece undertray/diffuser: mould strategy, core selection for stiffness-to-weight, and mounting that survives curb strikes. Relevant if you're building the floor and need a big, stiff, light panel that doesn't crack the first time it touches a kerb.",https://www.compositesworld.com/articles/fabrication-methods-2015,"floor, diffuser, ground effect, panel, core",seed
Nose cone,Mould + impact-attenuator integration,aero,"Shows how to build a composite nose and integrate the impact attenuator so the structure passes the FSAE IA test while keeping its aero shape. Read it if you own the nose, because the IA requirements drive how you lay it up, not just the outer surface.",https://www.fsae.com/forums/archive/index.php/t-11260.html,"nose, impact attenuator, IA, crash structure",seed
Drive shaft / Halfshaft,Splined shaft turning & heat treat,powertrain,"Covers manufacturing a halfshaft: turning it, cutting splines or tripod lobes, and heat-treating 4340 for torque and fatigue. Use it when you're making the driveshafts so they transmit full torque repeatedly without twisting up or failing at the splines.",https://www.fsae.com/forums/archive/index.php/t-10618.html,"axle, tripod, CV, spline, 4340, torque",seed
Sprocket / Chain drive,"Waterjet + CNC, hard-anodise",powertrain,"Explains making a lightweight rear sprocket: waterjet the profile, CNC the bore and bolt pattern, and hard-anodise the teeth for wear. Relevant if you're cutting the final-drive sprocket and want it light but still able to survive a season of chain wear.",https://www.fsae.com/forums/archive/index.php/t-5804.html,"final drive, chain, anodise, bolt pattern",seed
Diff mount / Carrier,Machined carrier + bearing fit,powertrain,Covers designing and machining a differential carrier with correct bearing fits and adjustability for chain tension and alignment. Go here when you're making the diff mounts and need the bearings to seat properly while still letting you tension the chain.,https://www.fsae.com/forums/archive/index.php/t-7732.html,"differential, LSD, carrier, bearing, chain tension",seed
